Région;Ancienne région;Nature de procédure;Année;Trimestre;Dernier jour du trimestre;﻿Code région;Code ancienne région;Nombre de procédures (brut)
Grand Est;Lorraine;Liquidation judiciaire;2015;3;2015-09-30;44;41;317
Martinique;Martinique;Liquidation judiciaire;2024;4;2024-12-31;02;02;116
Grand Est;Lorraine;Liquidation judiciaire;2016;4;2016-12-31;44;41;296
Martinique;Martinique;Sauvegarde;2004;1;2004-03-31;02;02;
Grand Est;Lorraine;Liquidation judiciaire;2018;2;2018-06-30;44;41;278
Martinique;Martinique;Sauvegarde;2004;2;2004-06-30;02;02;
Grand Est;Lorraine;Liquidation judiciaire;2018;4;2018-12-31;44;41;322
Martinique;Martinique;Sauvegarde;2004;3;2004-09-30;02;02;
Grand Est;Lorraine;Liquidation judiciaire;2020;3;2020-09-30;44;41;153
Martinique;Martinique;Sauvegarde;2005;1;2005-03-31;02;02;
Grand Est;Lorraine;Liquidation judiciaire;2021;2;2021-06-30;44;41;119
Martinique;Martinique;Sauvegarde;2005;4;2005-12-31;02;02;
Grand Est;Lorraine;Liquidation judiciaire;2021;3;2021-09-30;44;41;95
Martinique;Martinique;Sauvegarde;2006;3;2006-09-30;02;02;1
Grand Est;Lorraine;Liquidation judiciaire;2021;4;2021-12-31;44;41;180
Martinique;Martinique;Sauvegarde;2007;1;2007-03-31;02;02;1
Grand Est;Lorraine;Liquidation judiciaire;2022;1;2022-03-31;44;41;195
Martinique;Martinique;Sauvegarde;2007;2;2007-06-30;02;02;
Grand Est;Lorraine;Liquidation judiciaire;2022;3;2022-09-30;44;41;158
Martinique;Martinique;Sauvegarde;2009;1;2009-03-31;02;02;
Grand Est;Lorraine;Liquidation judiciaire;2023;1;2023-03-31;44;41;240
Martinique;Martinique;Sauvegarde;2009;4;2009-12-31;02;02;1
Grand Est;Lorraine;Liquidation judiciaire;2023;2;2023-06-30;44;41;277
Martinique;Martinique;Sauvegarde;2010;2;2010-06-30;02;02;4
Grand Est;Lorraine;Liquidation judiciaire;2023;3;2023-09-30;44;41;222
Martinique;Martinique;Sauvegarde;2011;1;2011-03-31;02;02;1
Grand Est;Lorraine;Liquidation judiciaire;2024;4;2024-12-31;44;41;333
Martinique;Martinique;Sauvegarde;2012;1;2012-03-31;02;02;2
Grand Est;Lorraine;Liquidation judiciaire;2025;1;2025-03-31;44;41;317
Martinique;Martinique;Sauvegarde;2013;1;2013-03-31;02;02;4
Grand Est;Lorraine;Liquidation judiciaire;2025;3;2025-09-30;44;41;242
Martinique;Martinique;Sauvegarde;2013;2;2013-06-30;02;02;5
Grand Est;Lorraine;Liquidation judiciaire;2025;4;2025-12-31;44;41;325
Martinique;Martinique;Sauvegarde;2015;1;2015-03-31;02;02;3
Grand Est;Lorraine;Sauvegarde;2005;1;2005-03-31;44;41;
Martinique;Martinique;Sauvegarde;2016;4;2016-12-31;02;02;1
Grand Est;Lorraine;Sauvegarde;2006;2;2006-06-30;44;41;9
Martinique;Martinique;Sauvegarde;2017;1;2017-03-31;02;02;2
Grand Est;Lorraine;Sauvegarde;2006;4;2006-12-31;44;41;3
Martinique;Martinique;Sauvegarde;2017;2;2017-06-30;02;02;
